Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
2011-02-22;9,2;
2011-02-23;9,1;
2011-02-24;7,9;
2011-02-25;9;
2011-02-26;4,1;
2011-02-27;8,9;
2011-02-28;9,6;
2011-03-01;7;
2011-03-02;9,3;
2011-03-03;9,1;
2011-03-04;8,9;
2011-03-05;9;
2011-03-06;9,8;
2011-03-07;9,4;
2011-03-08;7,9;
2011-03-09;1,8;
2011-03-10;8,6;
2011-03-11;9,2;
2011-03-12;10,1;
2011-03-13;10,1;
2011-03-14;9,7;
2011-03-15;6,8;
2011-03-16;9,5;
2011-03-17;9,6;
2011-03-18;9,9;
2011-03-19;8,8;
2011-03-20;9,9;
2011-03-21;8,8;
2011-03-22;9,2;
2011-03-23;8,6;
2011-03-24;4,7;
2011-03-25;3,8;
2011-03-26;9;
2011-03-27;6,4;
2011-03-28;8,7;
2011-03-29;9,7;
2011-03-30;9,5;
2011-03-31;4,6;
2011-04-01;8,4;
2011-04-02;8,8;
2011-04-03;7,9;
2011-04-04;8,4;
2011-04-05;8,3;
2011-04-06;9,5;
2011-04-07;9;
2011-04-08;2,5;
2011-04-09;0;
2011-04-10;,2;
2011-04-11;4,5;
2011-04-12;0;
2011-04-13;,1;
2011-04-14;6,6;
2011-04-15;10,1;
2011-04-16;9,4;
2011-04-17;3,6;
2011-04-18;0;
2011-04-19;0;
2011-04-20;4;
2011-04-21;,6;
2011-04-22;5,9;
2011-04-23;2,8;
2011-04-24;3,2;
2011-04-25;5,1;
2011-04-26;2;
2011-04-27;,4;
2011-04-28;8,7;
2011-04-29;5,1;
2011-04-30;2,1;
2011-05-01;3,7;
2011-05-02;0;
2011-05-03;0;
2011-05-04;3,1;
2011-05-05;4,5;
2011-05-06;8,8;
2011-05-07;3,6;
2011-05-08;4,9;
2011-05-09;,1;
2011-05-10;1,9;
2011-05-11;2;
2011-05-12;2,8;
2011-05-13;6,6;
2011-05-14;1,3;
2011-05-15;0;
2011-05-16;2,1;
2011-05-17;7,9;
2011-05-18;7;
2011-05-19;,6;
2011-05-20;3,7;
2011-05-21;6,1;
2011-05-22;8,1;
2011-05-23;6,1;
2011-05-24;4,8;
2011-05-25;9;
2011-05-26;5,3;
2011-05-27;9,7;
2011-05-28;6,1;
2011-05-29;7,9;
2011-05-30;9,2;
2011-05-31;8,4;
2011-06-01;8;
2011-06-02;5,3;
2011-06-03;7,9;
2011-06-04;1,9;
2011-06-05;,8;
2011-06-06;1,6;
2011-06-07;4,9;
2011-06-08;3,6;
2011-06-09;0;
2011-06-10;4,4;
2011-06-11;7,8;
2011-06-12;7,9;
2011-06-13;8,9;
2011-06-14;7,2;
2011-06-15;6,4;
2011-06-16;,5;
2011-06-17;6,4;
2011-06-18;6,8;
2011-06-19;4,4;
2011-06-20;3,3;
2011-06-21;4;
2011-06-22;,8;
2011-06-23;7,1;
2011-06-24;0;
2011-06-25;3,9;
2011-06-26;5,5;
2011-06-27;4,1;
2011-06-28;3,1;
2011-06-29;,5;
2011-06-30;8,6;
2011-07-01;9,3;
2011-07-02;,1;
2011-07-03;6,9;
2011-07-04;1,5;
2011-07-05;,1;
2011-07-06;2,1;
2011-07-07;2,2;
2011-07-08;5,3;
2011-07-09;6,5;
2011-07-10;5,3;
2011-07-11;1,3;
2011-07-12;0;
2011-07-13;2,1;
2011-07-14;9,3;
2011-07-15;2,2;
2011-07-16;0;
2011-07-17;,4;
2011-07-18;2,6;
2011-07-19;1;
2011-07-20;7,4;
2011-07-21;10,3;
2011-07-22;7,3;
2011-07-23;9,1;
2011-07-24;8,8;
2011-07-25;7,6;
2011-07-26;8,2;
2011-07-27;3,5;
2011-07-28;8,3;
2011-07-29;8,3;
2011-07-30;7,6;
2011-07-31;1,6;
2011-08-01;7,9;
2011-08-02;8,1;
2011-08-03;9;
2011-08-04;8,7;
2011-08-05;9,3;
2011-08-06;8,5;
2011-08-07;8,5;
2011-08-08;3,3;
2011-08-09;0;
2011-08-10;5,8;
2011-08-11;10,1;
2011-08-12;3;
2011-08-13;4;
2011-08-14;0;
2011-08-15;5,4;
2011-08-16;8,7;
2011-08-17;6,3;
2011-08-18;4,5;
2011-08-19;7,6;
2011-08-20;10,2;
2011-08-21;8,5;
2011-08-22;,8;
2011-08-23;8,1;
2011-08-24;9,4;
2011-08-25;2,1;
2011-08-26;5,3;
2011-08-27;9,2;
2011-08-28;8,3;
2011-08-29;9,6;
2011-08-30;9,6;
2011-08-31;9,4;
2011-09-01;9,1;
2011-09-02;8,9;
2011-09-03;5,8;
2011-09-04;9,2;
2011-09-05;8,6;
2011-09-06;8,9;
2011-09-07;8,7;
2011-09-08;9,8;
2011-09-09;9,9;
2011-09-10;9,8;
2011-09-11;9,3;
2011-09-12;8,6;
2011-09-13;7,4;
2011-09-14;6,2;
2011-09-15;5,5;
2011-09-16;9,1;
2011-09-17;8,6;
2011-09-18;8,3;
2011-09-19;8,7;
2011-09-20;9,6;
2011-09-21;6,9;
2011-09-22;4;
2011-09-23;4,3;
2011-09-24;5,8;
2011-09-25;9,1;
2011-09-26;8,2;
2011-09-27;9,5;
2011-09-28;8,1;
2011-09-29;9,2;
2011-09-30;8,6;
2011-10-01;8,3;
2011-10-02;8,2;
2011-10-03;9,2;
2011-10-04;5,6;
2011-10-05;7,8;
2011-10-06;8,9;
2011-10-07;9,2;
2011-10-08;8,8;
2011-10-09;9,1;
2011-10-10;5;
2011-10-11;10;
2011-10-12;7,9;
2011-10-13;8,6;
2011-10-14;3,8;
2011-10-15;3,7;
2011-10-16;6,7;
2011-10-17;8,8;
2011-10-18;9,2;
2011-10-19;2,7;
2011-10-20;5,2;
2011-10-21;7,8;
2011-10-22;9,7;
2011-10-23;10;
2011-10-24;10;
2011-10-25;9,9;
2011-10-26;9,9;
2011-10-27;9;
2011-10-28;9,1;
2011-10-29;2,1;
2011-10-30;8,6;
2011-10-31;9,6;
2011-11-01;7,4;
2011-11-02;10,6;
2011-11-03;10;
2011-11-04;10,5;
2011-11-05;10,1;
2011-11-06;10,1;
2011-11-07;9;
2011-11-08;10,3;
2011-11-09;6,3;
2011-11-10;9,4;
2011-11-11;4,7;
2011-11-12;9;
2011-11-13;7,3;
2011-11-14;10;
2011-11-15;9,1;
2011-11-16;10,3;
2011-11-17;9,8;
2011-11-18;10,5;
2011-11-19;9,8;
2011-11-20;9,9;
2011-11-21;10,7;
2011-11-22;9,3;
2011-11-23;4,4;
2011-11-24;6,4;
2011-11-25;9,5;
2011-11-26;9,9;
2011-11-27;7,4;
2011-11-28;,6;
2011-11-29;10,3;
2011-11-30;10,3;
2011-12-01;9,7;
2011-12-02;9,3;
2011-12-03;10;
2011-12-04;10,7;
2011-12-05;8,9;
2011-12-06;9,1;
2011-12-07;10,6;
2011-12-08;10,2;
2011-12-09;7,8;
2011-12-10;9,4;
2011-12-11;9,6;
2011-12-12;9,7;
2011-12-13;9,5;
2011-12-14;6,6;
2011-12-15;8,7;
2011-12-16;10,3;
2011-12-17;10,3;
2011-12-18;10;
2011-12-19;9,6;
2011-12-20;10,1;
2011-12-21;9,6;
2011-12-22;8,8;
2011-12-23;8,5;
2011-12-24;8,2;
2011-12-25;6,4;
2011-12-26;8;
2011-12-27;5,2;
2011-12-28;10;
2011-12-29;9,6;
2011-12-30;9,6;
2011-12-31;8,7;
2012-01-01;7;
2012-01-02;10,1;
2012-01-03;9,6;
2012-01-04;9,2;
2012-01-05;9,9;
2012-01-06;9,8;
2012-01-07;8,8;
2012-01-08;7,2;
2012-01-09;10,1;
2012-01-10;9;
2012-01-11;5,3;
2012-01-12;8,5;
2012-01-13;9,7;
2012-01-14;8,9;
2012-01-15;8,5;
2012-01-16;6,2;
2012-01-17;4,3;
2012-01-18;,8;
2012-01-19;,9;
2012-01-20;6;
2012-01-21;3,6;
2012-01-22;,3;
2012-01-23;,1;
2012-01-24;5,7;
2012-01-25;10,2;
2012-01-26;9,7;
2012-01-27;6,2;
2012-01-28;10,2;
2012-01-29;8;
2012-01-30;8,7;
2012-01-31;9,3;
2012-02-01;10;
2012-02-02;7,8;
2012-02-03;7,1;
2012-02-04;8,8;
2012-02-05;8,8;
2012-02-06;6,2;
2012-02-07;9,4;
2012-02-08;9,7;
2012-02-09;8,5;
2012-02-10;8;
2012-02-11;8,6;
2012-02-12;3;
2012-02-13;0;
2012-02-14;5;
2012-02-15;5,4;
2012-02-16;2,9;
2012-02-17;4,7;
2012-02-18;4,4;
2012-02-19;6,6;
2012-02-20;9;
2012-02-21;8,2;
2012-02-22;8,6;
2012-02-23;10,1;
2012-02-24;9,7;
2012-02-25;9,7;
2012-02-26;4,9;
2012-02-27;9,5;
2012-02-28;10,1;
2012-02-29;9,5;
2012-03-01;10;
2012-03-02;7,5;
2012-03-03;10,2;
2012-03-04;9,9;
2012-03-05;10,4;
2012-03-06;9,4;
2012-03-07;9,7;
2012-03-08;9,9;
2012-03-09;3,5;
2012-03-10;,3;
2012-03-11;3,1;
2012-03-12;3,1;
2012-03-13;10,3;
2012-03-14;6,5;
2012-03-15;10,2;
2012-03-16;9,7;
2012-03-17;9,1;
2012-03-18;8,8;
2012-03-19;9,6;
2012-03-20;9,3;
2012-03-21;5,3;
2012-03-22;4,9;
2012-03-23;10;
2012-03-24;5;
2012-03-25;6,3;
2012-03-26;9,5;
2012-03-27;8,5;
2012-03-28;8,8;
2012-03-29;8,1;
2012-03-30;10;
2012-03-31;9,4;
2012-04-01;8,9;
2012-04-02;4,3;
2012-04-03;7,9;
2012-04-04;8,3;
2012-04-05;4,3;
2012-04-06;2,3;
2012-04-07;9,5;
2012-04-08;8,7;
2012-04-09;8,7;
2012-04-10;7;
2012-04-11;4,6;
2012-04-12;10;
2012-04-13;9,3;
2012-04-14;7;
2012-04-15;5,1;
2012-04-16;10,1;
2012-04-17;10,4;
2012-04-18;9;
2012-04-19;10,3;
2012-04-20;7;
2012-04-21;9,2;
2012-04-22;10,5;
2012-04-23;10,4;
2012-04-24;9,6;
2012-04-25;3,7;
2012-04-26;10,5;
2012-04-27;10,4;
2012-04-28;9,4;
2012-04-29;10;
2012-04-30;9,1;
2012-05-01;10,5;
2012-05-02;9,3;
2012-05-03;8,3;
2012-05-04;8,7;
2012-05-05;4,8;
2012-05-06;2,5;
2012-05-07;,5;
2012-05-08;8,9;
2012-05-09;9,2;
2012-05-10;8,1;
2012-05-11;9,7;
2012-05-12;5,6;
2012-05-13;9,1;
2012-05-14;8,9;
2012-05-15;9,3;
2012-05-16;9,3;
2012-05-17;9,8;
2012-05-18;8,5;
2012-05-19;,1;
2012-05-20;8,6;
2012-05-21;8,9;
2012-05-22;5,9;
2012-05-23;0;
2012-05-24;3;
2012-05-25;6,6;
2012-05-26;7,7;
2012-05-27;,4;
2012-05-28;8,9;
2012-05-29;8;
2012-05-30;6,1;
2012-05-31;8,4;
2012-06-01;9,3;
2012-06-02;8,9;
2012-06-03;5,8;
2012-06-04;9;
2012-06-05;8,5;
2012-06-06;0;
2012-06-07;,5;
2012-06-08;4,5;
2012-06-09;6,8;
2012-06-10;9,1;
2012-06-11;4,7;
2012-06-12;9,1;
2012-06-13;8,6;
2012-06-14;1,3;
2012-06-15;8;
2012-06-16;7;
2012-06-17;4,6;
2012-06-18;6,5;
2012-06-19;0;
2012-06-20;8,3;
2012-06-21;7,6;
2012-06-22;4,1;
2012-06-23;8,9;
2012-06-24;9,3;
2012-06-25;2,6;
2012-06-26;4,9;
2012-06-27;5,5;
2012-06-28;3,6;
2012-06-29;7,9;
2012-06-30;null;
2012-07-01;5,1;
2012-07-02;,4;
2012-07-03;4,4;
2012-07-04;4,7;
2012-07-05;2,2;
2012-07-06;8;
2012-07-07;5,6;
2012-07-08;3,2;
2012-07-09;9,3;
2012-07-10;3,5;
2012-07-11;8,9;
2012-07-12;4;
2012-07-13;0;
2012-07-14;5,8;
2012-07-15;8,5;
2012-07-16;9,2;
2012-07-17;7;
2012-07-18;7,8;
2012-07-19;9,3;
2012-07-20;9,8;
2012-07-21;8,7;
2012-07-22;5,3;
2012-07-23;8,2;
2012-07-24;9,2;
2012-07-25;9,4;
2012-07-26;8,1;
2012-07-27;3,6;
2012-07-28;9,3;
2012-07-29;8,7;
2012-07-30;8,3;
2012-07-31;9,2;
2012-08-01;6,5;
2012-08-02;9,1;
2012-08-03;6,8;
2012-08-04;8,2;
2012-08-05;9,7;
2012-08-06;9,1;
2012-08-07;10,1;
2012-08-08;7,6;
2012-08-09;8,3;
2012-08-10;8,1;
2012-08-11;9,3;
2012-08-12;3,1;
2012-08-13;,8;
2012-08-14;7,3;
2012-08-15;9,2;
2012-08-16;9;
2012-08-17;2,2;
2012-08-18;8,4;
2012-08-19;9,2;
2012-08-20;9,3;
2012-08-21;8,2;
2012-08-22;9,3;
2012-08-23;9,5;
2012-08-24;9,2;
2012-08-25;3,6;
2012-08-26;9,7;
2012-08-27;9,9;
2012-08-28;9,7;
2012-08-29;9,9;
2012-08-30;10;
2012-08-31;9,9;
2012-09-01;2,1;
2012-09-02;8,1;
2012-09-03;7,3;
2012-09-04;5,7;
2012-09-05;3,1;
2012-09-06;5,8;
2012-09-07;6,5;
2012-09-08;8,9;
2012-09-09;7,1;
2012-09-10;9,1;
2012-09-11;6,1;
2012-09-12;7,5;
2012-09-13;9,1;
2012-09-14;9,5;
2012-09-15;9,1;
2012-09-16;2,3;
2012-09-17;,8;
2012-09-18;5,1;
2012-09-19;9,4;
2012-09-20;8,3;
2012-09-21;7,7;
2012-09-22;9,4;
2012-09-23;8,3;
2012-09-24;9,3;
2012-09-25;6;
2012-09-26;8,7;
2012-09-27;9,3;
2012-09-28;9;
2012-09-29;8,6;
2012-09-30;9,8;
2012-10-01;9,1;
2012-10-02;5,3;
2012-10-03;9,6;
2012-10-04;9,7;
2012-10-05;8,2;
2012-10-06;3,8;
2012-10-07;7,9;
2012-10-08;2;
2012-10-09;9,5;
2012-10-10;8,1;
2012-10-11;5,3;
2012-10-12;9,6;
2012-10-13;8,5;
2012-10-14;5,7;
2012-10-15;9,4;
2012-10-16;9,2;
2012-10-17;8;
2012-10-18;6,9;
2012-10-19;7,5;
2012-10-20;6,8;
2012-10-21;6,2;
2012-10-22;8,5;
2012-10-23;10,1;
2012-10-24;9,5;
2012-10-25;10,6;
2012-10-26;6,2;
2012-10-27;9,9;
2012-10-28;8,6;
2012-10-29;null;
2012-10-30;8,7;
2012-10-31;9,6;
2012-11-01;10,6;
2012-11-02;9,8;
2012-11-03;9,3;
2012-11-04;9;
2012-11-05;9,4;
2012-11-06;9,4;
2012-11-07;6,6;
2012-11-08;5,4;
2012-11-09;4,3;
2012-11-10;9,6;
2012-11-11;10,2;
2012-11-12;10;
2012-11-13;6,4;
2012-11-14;10,2;
2012-11-15;9;
2012-11-16;9,5;
2012-11-17;9,8;
2012-11-18;9,9;
2012-11-19;9,7;
2012-11-20;8,6;
2012-11-21;8,1;
2012-11-22;10,4;
2012-11-23;6,9;
2012-11-24;10,2;
2012-11-25;10,3;
2012-11-26;10,2;
2012-11-27;10;
2012-11-28;9,1;
2012-11-29;8,7;
2012-11-30;10,1;
2012-12-01;7,5;
2012-12-02;3,7;
2012-12-03;7,2;
2012-12-04;9;
2012-12-05;8,1;
2012-12-06;10,2;
2012-12-07;9,6;
2012-12-08;6,3;
2012-12-09;8,4;
2012-12-10;9,6;
2012-12-11;9,7;
2012-12-12;9,4;
2012-12-13;9,9;
2012-12-14;8,7;
2012-12-15;7,3;
2012-12-16;6,5;
2012-12-17;8,8;
2012-12-18;8,1;
2012-12-19;9,4;
2012-12-20;9,6;
2012-12-21;9,9;
2012-12-22;9,5;
2012-12-23;9,6;
2012-12-24;6,6;
2012-12-25;9,6;
2012-12-26;9,4;
2012-12-27;9,6;
2012-12-28;9,1;
2012-12-29;8,2;
2012-12-30;9,7;
2012-12-31;8,4;
2013-01-01;4,9;
2013-01-02;3,9;
2013-01-03;6,8;
2013-01-04;8,5;
2013-01-05;9,4;
2013-01-06;9,1;
2013-01-07;10;
2013-01-08;10;
2013-01-09;8,5;
2013-01-10;10,2;
2013-01-11;10,4;
2013-01-12;5,7;
2013-01-13;8,4;
2013-01-14;4;
2013-01-15;9,7;
2013-01-16;7,6;
2013-01-17;9,4;
2013-01-18;8,3;
2013-01-19;9,1;
2013-01-20;7,8;
2013-01-21;8,3;
2013-01-22;10,2;
2013-01-23;9,9;
2013-01-24;9,6;
2013-01-25;9,8;
2013-01-26;9,4;
2013-01-27;10,5;
2013-01-28;10,5;
2013-01-29;9,5;
2013-01-30;9,7;
2013-01-31;9,7;
2013-02-01;9,2;
2013-02-02;9,8;
2013-02-03;9,7;
2013-02-04;9,5;
2013-02-05;10;
2013-02-06;9,9;
2013-02-07;10,6;
2013-02-08;8,8;
2013-02-09;8,1;
2013-02-10;4,1;
2013-02-11;9,5;
2013-02-12;5,8;
2013-02-13;9,7;
2013-02-14;7,4;
2013-02-15;6,7;
2013-02-16;9;
2013-02-17;7,7;
2013-02-18;,1;
2013-02-19;8,9;
2013-02-20;5,6;
2013-02-21;5,6;
2013-02-22;7,9;
2013-02-23;5;
2013-02-24;7,5;
2013-02-25;9,6;
2013-02-26;9,6;
2013-02-27;9,8;
2013-02-28;8,6;
2013-03-01;7,7;
2013-03-02;9,1;
2013-03-03;2,6;
2013-03-04;6;
2013-03-05;8,6;
2013-03-06;7,6;
2013-03-07;0;
2013-03-08;3,6;
2013-03-09;6,1;
2013-03-10;8,1;
2013-03-11;9,5;
2013-03-12;8,6;
2013-03-13;8,9;
2013-03-14;9,4;
2013-03-15;9,2;
2013-03-16;3,8;
2013-03-17;9,5;
2013-03-18;5,4;
2013-03-19;7,7;
2013-03-20;9;
2013-03-21;9,4;
2013-03-22;9,9;
2013-03-23;9,4;
2013-03-24;9,8;
2013-03-25;9,1;
2013-03-26;10;
2013-03-27;9,8;
2013-03-28;9,7;
2013-03-29;9,6;
2013-03-30;9,9;
2013-03-31;9,9;
2013-04-01;8,8;
2013-04-02;2,4;
2013-04-03;9;
2013-04-04;9,8;
2013-04-05;9,7;
2013-04-06;8,6;
2013-04-07;10;
2013-04-08;10;
2013-04-09;9,5;
2013-04-10;8,4;
2013-04-11;9,5;
2013-04-12;8,5;
2013-04-13;8,8;
2013-04-14;8,6;
2013-04-15;10;
2013-04-16;8,7;
2013-04-17;9,2;
2013-04-18;4,5;
2013-04-19;6,7;
2013-04-20;7,1;
2013-04-21;4,2;
2013-04-22;9,6;
2013-04-23;5;
2013-04-24;0;
2013-04-25;8,9;
2013-04-26;8,6;
2013-04-27;8,6;
2013-04-28;0;
2013-04-29;0;
2013-04-30;7,4;
2013-05-01;5,4;
2013-05-02;9,3;
2013-05-03;9,8;
2013-05-04;7,4;
2013-05-05;,9;
2013-05-06;7,5;
2013-05-07;8,7;
2013-05-08;8,7;
2013-05-09;8;
2013-05-10;7,6;
2013-05-11;9;
2013-05-12;9,6;
2013-05-13;4,4;
2013-05-14;5;
2013-05-15;8,3;
2013-05-16;8,1;
2013-05-17;,6;
2013-05-18;1,1;
2013-05-19;8,3;
2013-05-20;9,6;
2013-05-21;9;
2013-05-22;9,1;
2013-05-23;5,7;
2013-05-24;1,2;
2013-05-25;5,6;
2013-05-26;6,1;
2013-05-27;9,1;
2013-05-28;7,6;
2013-05-29;9,1;
2013-05-30;8,3;
2013-05-31;8,5;
2013-06-01;9;
2013-06-02;5,5;
2013-06-03;8,9;
2013-06-04;1,8;
2013-06-05;5,6;
2013-06-06;9,3;
2013-06-07;9,1;
2013-06-08;5,8;
2013-06-09;,9;
2013-06-10;8,8;
2013-06-11;4,9;
2013-06-12;0;
2013-06-13;0;
2013-06-14;6,1;
2013-06-15;9,2;
2013-06-16;3,9;
2013-06-17;8,1;
2013-06-18;8,5;
2013-06-19;7,5;
2013-06-20;8,6;
2013-06-21;0;
2013-06-22;0;
2013-06-23;6;
2013-06-24;7;
2013-06-25;4,6;
2013-06-26;6,8;
2013-06-27;6,7;
2013-06-28;,8;
2013-06-29;7,4;
2013-06-30;8,8;
2013-07-01;6,7;
2013-07-02;0;
2013-07-03;0;
2013-07-04;7,8;
2013-07-05;7,8;
2013-07-06;1,7;
2013-07-07;0;
2013-07-08;4,9;
2013-07-09;0;
2013-07-10;2,4;
2013-07-11;,2;
2013-07-12;4,9;
2013-07-13;6,3;
2013-07-14;1,6;
2013-07-15;8,7;
2013-07-16;1,7;
2013-07-17;3,8;
2013-07-18;2,2;
2013-07-19;7,8;
2013-07-20;null;
2013-07-21;0;
2013-07-22;7,9;
2013-07-23;10,1;
2013-07-24;7,1;
2013-07-25;8;
2013-07-26;4,1;
2013-07-27;8;
2013-07-28;8,7;
2013-07-29;9,1;
2013-07-30;0;
2013-07-31;3,5;
2013-08-01;7,9;
2013-08-02;9,6;
2013-08-03;7;
2013-08-04;8,7;
2013-08-05;6,6;
2013-08-06;8,3;
2013-08-07;,8;
2013-08-08;6,6;
2013-08-09;8,2;
2013-08-10;7,8;
2013-08-11;9,6;
2013-08-12;10;
2013-08-13;8,5;
2013-08-14;0;
2013-08-15;7,8;
2013-08-16;7,3;
2013-08-17;9,1;
2013-08-18;0;
2013-08-19;6,2;
2013-08-20;8,1;
2013-08-21;10,7;
2013-08-22;8,9;
2013-08-23;8,1;
2013-08-24;10;
2013-08-25;3,4;
2013-08-26;7,6;
2013-08-27;8,2;
2013-08-28;5,9;
2013-08-29;,7;
2013-08-30;0;
2013-08-31;0;
2013-09-01;8,1;
2013-09-02;9,7;
2013-09-03;2;
2013-09-04;7,6;
2013-09-05;9,6;
2013-09-06;8,7;
2013-09-07;8,5;
2013-09-08;7,9;
2013-09-09;7,8;
2013-09-10;,5;
2013-09-11;9,6;
2013-09-12;1,9;
2013-09-13;6,6;
2013-09-14;7,9;
2013-09-15;9,3;
2013-09-16;9,3;
2013-09-17;9,3;
2013-09-18;7,3;
2013-09-19;7,2;
2013-09-20;6,8;
2013-09-21;2,8;
2013-09-22;8,8;
2013-09-23;9,3;
2013-09-24;1,4;
2013-09-25;9,9;
2013-09-26;6,6;
2013-09-27;6,7;
2013-09-28;7,8;
2013-09-29;9,8;
2013-09-30;6,9;
2013-10-01;8,7;
2013-10-02;9,9;
2013-10-03;9,9;
2013-10-04;8,3;
2013-10-05;9,7;
2013-10-06;9,1;
2013-10-07;8;
2013-10-08;8,9;
2013-10-09;8,6;
2013-10-10;9,7;
2013-10-11;9,3;
2013-10-12;8,8;
2013-10-13;9,5;
2013-10-14;7,2;
2013-10-15;8,5;
2013-10-16;8,8;
2013-10-17;9,6;
2013-10-18;9,3;
2013-10-19;9,5;
2013-10-20;10,1;
2013-10-21;9,7;
2013-10-22;10,2;
2013-10-23;10;
2013-10-24;4,9;
2013-10-25;3,2;
2013-10-26;4,2;
2013-10-27;8,9;
2013-10-28;7,7;
2013-10-29;10;
2013-10-30;9,1;
2013-10-31;9,1;
2013-11-01;3,2;
2013-11-02;8;
2013-11-03;9,2;
2013-11-04;6,1;
2013-11-05;7,8;
2013-11-06;9,4;
2013-11-07;6,5;
2013-11-08;7,1;
2013-11-09;9,2;
2013-11-10;9,5;
2013-11-11;9,1;
2013-11-12;9,3;
2013-11-13;9,8;
2013-11-14;10,3;
2013-11-15;10,4;
2013-11-16;8,6;
2013-11-17;6,3;
2013-11-18;9,9;
2013-11-19;6,7;
2013-11-20;1,5;
2013-11-21;3,9;
2013-11-22;4,9;
2013-11-23;8,1;
2013-11-24;8,6;
2013-11-25;10,5;
2013-11-26;10,3;
2013-11-27;10;
2013-11-28;9,9;
2013-11-29;10,3;
2013-11-30;7,3;
2013-12-01;9,7;
2013-12-02;9,1;
2013-12-03;9,8;
2013-12-04;9,9;
2013-12-05;null;
2013-12-06;9,4;
2013-12-07;9,9;
2013-12-08;9,4;
2013-12-09;10,5;
2013-12-10;10;
2013-12-11;9,6;
2013-12-12;9,7;
2013-12-13;10;
2013-12-14;9;
2013-12-15;9,7;
2013-12-16;9,5;
2013-12-17;,9;
2013-12-18;2,9;
2013-12-19;,2;
2013-12-20;1,5;
2013-12-21;7,2;
2013-12-22;8,4;
2013-12-23;8,2;
2013-12-24;6,9;
2013-12-25;9,1;
2013-12-26;9,1;
2013-12-27;8,8;
2013-12-28;8,5;
2013-12-29;8,1;
2013-12-30;9,4;
2013-12-31;9,5;

